Barrio,cluster_lvl1,Provincia,Localidad,Latitud,Longitud
Abasto,1,Capital Federal,Capital Federal,-32.961025,-60.645093
Abril Club De Campo,1,Buenos Aires,Countries y Barrios Cerrados Berazategui,-34.802206,-58.164272
Acassuso Vias  /  Santa Fe,1,Buenos Aires,Acassuso,-34.480939,-58.50474
Agronomia,1,Capital Federal,Capital Federal,-34.59217,-58.488972
Aidy Grill,1,Maldonado,Punta del Este,-34.954376,-54.93452
Albanueva,1,Buenos Aires,Countries y Barrios Cerrados Tigre,-34.408053,-58.617038
Alberdi,1,Cordoba,Cordoba,-32.8912845,-60.69506
Almagro,1,Capital Federal,Capital Federal,-34.606699,-58.42122
Alta Cordoba,1,Cordoba,Cordoba,-31.392857,-64.185
Alto Alberdi,1,Cordoba,Cordoba,-31.406036,-64.218355
Arguello,0,Cordoba,Cordoba,-31.340668,-64.264851
Arroyito,1,Santa Fe,Rosario,-32.916281,-60.679081
Ayres De Pilar,1,Buenos Aires,Countries y Barrios Cerrados Pilar,-34.436531,-58.800769
Azcuenaga,0,Santa Fe,Rosario,-32.941293,-60.69632
Balvanera,1,Capital Federal,Capital Federal,-34.609287,-58.402826
Barracas,1,Capital Federal,Capital Federal,-34.637675,-58.37464
Barrio Norte,1,Buenos Aires,La Plata,-34.59296,-58.39741
Belgrano,1,Capital Federal,Capital Federal,-34.562467,-58.454597
Bella Vista,1,Santa Fe,Rosario,-32.958508,-60.678697
Billinghurst,0,Buenos Aires,General San Martin,-34.573929,-58.569413
Boca,1,Capital Federal,Capital Federal,-34.634496,-58.362438
Boca Raton,0,Buenos Aires,Countries y Barrios Cerrados Pilar,-34.548445,-58.86437
Boedo,1,Capital Federal,Capital Federal,-34.62665,-58.418027
Buceo,1,Montevideo,Montevideo,-34.896136,-56.129414
Caballito,1,Capital Federal,Capital Federal,-34.618621,-58.441433
Campos De Alvarez,1,Buenos Aires,Countries y Barrios Cerrados Moreno,-34.62253,-58.843367
Castelar Norte,1,Buenos Aires,Castelar,-34.645858,-58.643586
Castelar Sur,1,Buenos Aires,Castelar,-34.657261,-58.642239
