Barrio,cluster_lvl1,subcluster_lvl2,cluster_lvl2,cluster_lvl2_str
Abasto,1,1,3,1_1
Abril Club De Campo,1,0,2,1_0
Acassuso Vias  /  Santa Fe,1,1,3,1_1
Agronomia,1,1,3,1_1
Aidy Grill,1,1,3,1_1
Albanueva,1,0,2,1_0
Alberdi,1,0,2,1_0
Almagro,1,1,3,1_1
Alta Cordoba,1,0,2,1_0
Alto Alberdi,1,0,2,1_0
Arguello,0,0,0,0_0
Arroyito,1,0,2,1_0
Ayres De Pilar,1,0,2,1_0
Azcuenaga,0,0,0,0_0
Balvanera,1,1,3,1_1
Barracas,1,1,3,1_1
Barrio Norte,1,1,3,1_1
Belgrano,1,1,3,1_1
Bella Vista,1,0,2,1_0
Billinghurst,0,0,0,0_0
Boca,1,0,2,1_0
Boca Raton,0,0,0,0_0
Boedo,1,1,3,1_1
Buceo,1,1,3,1_1
Caballito,1,1,3,1_1
Campos De Alvarez,1,0,2,1_0
Castelar Norte,1,0,2,1_0
Castelar Sur,1,0,2,1_0
Centro,1,1,3,1_1
Centro ,1,1,3,1_1
Centro (Campana),0,0,0,0_0
Centro (Moreno),0,0,0,0_0
Cerro De Las Rosas,0,0,0,0_0
Chacarita,1,1,3,1_1
Chauvin,1,0,2,1_0
Chilavert,1,0,2,1_0
Ciudad De Tigre,1,1,3,1_1
Club Miralagos,0,1,1,0_1
Cofico,1,0,2,1_0
Coghlan,1,1,3,1_1
Colegiales,1,1,3,1_1
Congreso,1,1,3,1_1
Constitucion,1,0,2,1_0
Cordon ,1,0,2,1_0
Country Club Banco Provincia,1,0,2,1_0
Country Club Los Cardales,0,0,0,0_0
Echesortu,1,0,2,1_0
El Canton,1,0,2,1_0
El Canton - Norte,1,0,2,1_0
El Cantón - Barrio Golf,0,0,0,0_0
El Cantón - Barrio Islas,1,0,2,1_0
El Cantón - Barrio Puerto,1,0,2,1_0
El Naudir,0,1,1,0_1
El Remanso,0,1,1,0_1
Estancias Del Pilar,0,0,0,0_0
Fincas de San Vicente,0,1,1,0_1
Fisherton,1,0,2,1_0
Flores,1,1,3,1_1
Floresta,1,1,3,1_1
Florida Belgrano/Oeste,1,1,3,1_1
Florida Mitre/Este,1,1,3,1_1
General Paz,1,0,2,1_0
Haedo Norte,1,0,2,1_0
Haedo Sur,1,1,3,1_1
Haras Del Sur,0,1,1,0_1
Haras Santa Maria,1,0,2,1_0
La Barra,1,0,2,1_0
La Florida,1,0,2,1_0
La Horqueta,1,1,3,1_1
La Lomada De Pilar,1,0,2,1_0
La Lucila Libertador / Rio,1,1,3,1_1
La Lucila-Vias/Maipu,1,1,3,1_1
La Perla Norte,1,1,3,1_1
La Perla Sur,1,1,3,1_1
La cañada de Pilar,1,0,2,1_0
Lagoon Pilar,1,0,2,1_0
Lanus Este,1,0,2,1_0
Lanus Oeste,1,0,2,1_0
Liniers,1,1,3,1_1
Lomas de San Isidro,1,1,3,1_1
Los Hornos,0,0,0,0_0
Los Troncos,1,0,2,1_0
Ludueña,0,0,0,0_0
Luis Agote,1,0,2,1_0
Macrocentro,1,0,2,1_0
Malvin,1,1,3,1_1
Manantiales,0,0,0,0_0
Mapuche Country Club,1,0,2,1_0
Martin,1,0,2,1_0
Martinez Fleming / Panamericana,1,1,3,1_1
Martinez Libertador / Rio,1,0,2,1_0
Martinez Santa Fe / Fleming,1,1,3,1_1
Martinez Vias / Libertador,1,1,3,1_1
Martinez Vias / Santa Fe,1,1,3,1_1
Mataderos,1,0,2,1_0
Microcentro,1,0,2,1_0
Moron Norte,1,0,2,1_0
Moron Sur,1,0,2,1_0
Nordelta Castaños,1,0,2,1_0
Nordelta Los Castores,1,1,3,1_1
Nuestra Señora De Lourdes,1,1,3,1_1
Nueva Cordoba,1,1,3,1_1
Nuñez,1,1,3,1_1
Olivos Golf,1,1,3,1_1
Olivos Maipu/Uzal,1,1,3,1_1
Olivos Quinta Presidencial,1,1,3,1_1
Olivos Uzal / Panamericana,1,1,3,1_1
Olivos Vias/Maipu,1,1,3,1_1
Olivos Vias/Rio,1,1,3,1_1
Once,1,1,3,1_1
Otro,1,0,2,1_0
