Localidad,0,1,2,3
Acassuso,0,0,0,1
Belen De Escobar,0,0,0,1
Campana,1,0,1,0
Canning,0,1,0,0
Capital Federal,1,0,5,33
Castelar,0,0,2,0
Ciudad Madero,0,0,1,0
Ciudadela,0,0,0,1
Cordoba,5,0,5,1
Countries y Barrios Cerrados Berazategui,0,0,2,0
Countries y Barrios Cerrados Campana,1,0,0,0
Countries y Barrios Cerrados Escobar,2,3,6,0
Countries y Barrios Cerrados Esteban Echeverria,0,0,1,0
Countries y Barrios Cerrados Exaltacion De La Cruz,1,1,0,0
Countries y Barrios Cerrados General Rodriguez,0,0,1,0
Countries y Barrios Cerrados La Plata,0,2,0,0
Countries y Barrios Cerrados Lujan,0,0,1,0
Countries y Barrios Cerrados Moreno,1,0,2,0
Countries y Barrios Cerrados Nordelta,0,0,1,2
Countries y Barrios Cerrados Pilar,5,1,8,0
Countries y Barrios Cerrados San Isidro,0,0,1,0
Countries y Barrios Cerrados Tigre,2,0,1,3
Florida,0,0,0,2
General San Martin,2,0,1,0
Haedo,0,0,1,1
La Lucila,0,0,0,2
La Plata,3,0,1,1
Lanus,0,0,2,0
Mar Del Plata,0,1,7,6
Martinez,0,0,1,4
Montevideo,0,0,1,6
Moreno,1,0,0,0
Moron,0,0,2,0
Olivos,0,0,0,6
Pilar,0,0,1,0
Punta del Este,0,0,3,6
Ramos Mejia,0,0,0,2
Resistencia,0,0,1,0
Rosario,3,0,7,4
Salta,1,0,0,0
San Fernando,0,0,0,2
San Isidro,1,0,0,4
Tigre,0,0,0,1
Vicente Lopez,0,0,0,2
Villa Ballester,0,0,1,0
