Localidad,0,1
Acassuso,0,1
Belen De Escobar,0,1
Campana,1,1
Canning,1,0
Capital Federal,1,38
Castelar,0,2
Ciudad Madero,0,1
Ciudadela,0,1
Cordoba,5,6
Countries y Barrios Cerrados Berazategui,0,2
Countries y Barrios Cerrados Campana,1,0
Countries y Barrios Cerrados Escobar,5,6
Countries y Barrios Cerrados Esteban Echeverria,0,1
Countries y Barrios Cerrados Exaltacion De La Cruz,2,0
Countries y Barrios Cerrados General Rodriguez,0,1
Countries y Barrios Cerrados La Plata,2,0
Countries y Barrios Cerrados Lujan,0,1
Countries y Barrios Cerrados Moreno,1,2
Countries y Barrios Cerrados Nordelta,0,3
Countries y Barrios Cerrados Pilar,6,8
Countries y Barrios Cerrados San Isidro,0,1
Countries y Barrios Cerrados Tigre,2,4
Florida,0,2
General San Martin,2,1
Haedo,0,2
La Lucila,0,2
La Plata,3,2
Lanus,0,2
Mar Del Plata,1,13
Martinez,0,5
Montevideo,0,7
Moreno,1,0
Moron,0,2
Olivos,0,6
Pilar,0,1
Punta del Este,0,9
Ramos Mejia,0,2
Resistencia,0,1
Rosario,3,11
Salta,1,0
San Fernando,0,2
San Isidro,1,4
Tigre,0,1
Vicente Lopez,0,2
Villa Ballester,0,1
