month,n_obs
2011-08,3
2011-09,7
2011-12,1
2012-02,4
2012-03,11
2012-04,27
2012-05,44
2012-06,10
2012-07,9
2012-08,32
2012-09,35
2012-10,35
2013-03,57
2013-04,35
2013-05,25
2013-06,7
2013-07,7
2013-08,4
2013-09,3
2013-10,991
2013-11,36
2013-12,175
2014-01,78
2014-02,68
2014-03,37
2014-04,16
2014-05,198
2014-06,207
2014-07,66
2014-08,197
2014-09,273
2014-10,282
2014-11,337
2014-12,404
2015-01,181
2015-02,408
2015-03,931
2015-04,494
2015-05,1757
2015-06,631
2015-07,613
2015-08,690
2015-09,967
2015-10,428
2015-11,560
2015-12,510
2016-01,767
2016-02,867
2016-03,1328
2016-04,1076
2016-05,2981
2016-06,1284
2016-07,2049
2016-08,2495
2016-09,2852
2016-10,5321
2016-11,3878
2016-12,1848
2017-01,2944
2017-02,3133
2017-03,3971
2017-04,5316
2017-05,7526
2017-06,6419
2017-07,7632
2017-08,7165
2017-09,8595
2017-10,10386
2017-11,12355
2017-12,8279
2018-01,10869
2018-02,14932
2018-03,23403
2018-04,28736
2018-05,41539
2018-06,38815
2018-07,51786
2018-08,66735
2018-09,92811
2018-10,94860
2018-11,125313
2018-12,116847
2019-01,372639
2019-02,271131
2019-03,315421
2019-04,328505
2019-05,423840
2019-06,313132
2019-07,349000
2019-08,372768
2019-09,341017
2019-10,487448
2019-11,428585
2019-12,329670
2020-01,383259
2020-02,349900
2020-03,470500
2020-04,307136
2020-05,507874
2020-06,359114
2020-07,497915
2020-08,402975
2020-09,475435
2020-10,507644
2020-11,512037
2020-12,374510
2021-01,386591
2021-02,400479
2021-03,545015
2021-04,442796
2021-05,445707
2021-06,491885
2021-07,475628
2021-08,497192
2021-09,503410
2021-10,482808
2021-11,465087
2021-12,418019
2022-01,397476
2022-02,372482
2022-03,420591
2022-04,423639
2022-05,469476
2022-06,373919
2022-07,649198
2022-08,512019
2022-09,472315
2022-10,378419
2022-11,378196
2022-12,243222
2023-01,98151
2023-02,124204
2023-03,187258
2023-04,185196
2023-05,213447
2023-06,270740
2023-07,408036
2023-08,342908
2023-09,556052
2023-10,494870
2023-11,496828
2023-12,453016
2024-01,495894
2024-02,438144
2024-03,470586
2024-04,479508
2024-05,509633
2024-06,420921
2024-07,506981
2024-08,510959
2024-09,423823
2024-10,540488
2024-11,445566
2024-12,537099
2025-01,446709
2025-02,432093
2025-03,393207
2025-04,444044
2025-05,427831
2025-06,387300
2025-07,385161
2025-08,348019
2025-09,371091
2025-10,283559
