Barrio,coverage
Abasto,0.926829268292683
Abril Club De Campo,0.7439024390243902
Acacias Blancas,0.4878048780487805
Acassuso El Cano  /  Rio,0.04878048780487805
Acassuso Libertador  /  Solis,0.45121951219512196
Acassuso Vias  /  Libertador,0.4146341463414634
Acassuso Vias  /  Santa Fe,0.8170731707317073
Aero Country Club,0.036585365853658534
Agronomia,0.8414634146341463
Aguada,0.0
Aguada ,0.5609756097560976
Aguadas,0.012195121951219513
Aguas Azules,0.08536585365853659
Agustinas 1,0.036585365853658534
Aidy Grill,0.7682926829268293
Alamos 2,0.012195121951219513
Albanueva,0.7439024390243902
Alberdi,0.9878048780487805
Aldea Lago,0.12195121951219512
Alem,0.07317073170731707
Almagro,0.9878048780487805
Alta Cordoba,0.8414634146341463
Altamira,0.012195121951219513
Alto Alberdi,0.9024390243902439
Alto Los Cardales,0.06097560975609756
Alto Verde,0.0
Altos De Bella Vista,0.024390243902439025
Altos De Campo Grande,0.2073170731707317
Altos De Las Vertientes,0.012195121951219513
Altos De Lujan,0.13414634146341464
Altos De Manzanares,0.24390243902439024
Altos De San Lorenzo,0.036585365853658534
Altos Del Casco,0.012195121951219513
Altos Del Pilar,0.012195121951219513
Altos Del Sol,0.524390243902439
Altos de Hudson II,0.4024390243902439
Altos de Los Cardale,0.08536585365853659
Alvarez Del Bosque,0.024390243902439025
Aranjuez,0.5487804878048781
Aranzazu,0.14634146341463414
Area 60,0.17073170731707318
Arenas del Sur,0.13414634146341464
Arguello,0.8414634146341463
Arguello Norte,0.036585365853658534
Arroyito,0.926829268292683
Arroyo Carapachay,0.06097560975609756
Ayres De Pilar,0.8048780487804879
Ayres Lofts,0.0975609756097561
Ayres Plaza,0.6463414634146342
Azcuenaga,0.7682926829268293
Balvanera,1.0
Banco Provincia,0.2804878048780488
Baradero,0.024390243902439025
Barbarita,0.6097560975609756
Barra De Carrasco ,0.012195121951219513
Barracas,0.975609756097561
Barrancas De San Benito,0.07317073170731707
Barrancas De San Jose,0.04878048780487805
Barrancas de Iraola,0.0975609756097561
Barrio Aleman,0.024390243902439025
Barrio Arenas Chico,0.012195121951219513
Barrio Belen,0.04878048780487805
Barrio Bosque Peralta Ramos,0.2804878048780488
Barrio Cerrado Costa Esmeralda,0.2682926829268293
Barrio Cerrado Los Horneros,0.024390243902439025
Barrio Colinas de Peralta Ramos,0.10975609756097561
Barrio Cordoba,0.024390243902439025
Barrio Cube,0.21951219512195122
Barrio Del Combate,0.012195121951219513
Barrio Don Bosco,0.13414634146341464
Barrio Ecuestre,0.012195121951219513
Barrio El Campo - Fincas Exclusivas Cardales,0.036585365853658534
Barrio España y Hospitales,0.6341463414634146
Barrio Golf 2,0.10975609756097561
Barrio Grand Bourg,0.13414634146341464
Barrio Guemes,0.06097560975609756
Barrio Hospitales,0.14634146341463414
Barrio Industrial,0.0975609756097561
Barrio Jardin,0.024390243902439025
Barrio La Siberia,0.0
Barrio Malvinas,0.012195121951219513
Barrio Marina,0.024390243902439025
Barrio Matheu,0.5853658536585366
Barrio Norte,1.0
Barrio Parque,0.45121951219512196
Barrio Parque Field,0.12195121951219512
Barrio Parque Las Lomadas,0.012195121951219513
Barrio Parque Matheu,0.0
Barrio Parque Pero,0.024390243902439025
Barrio Parque San Martin,0.4878048780487805
Barrio Rucci,0.0975609756097561
Barrio San Martin,0.04878048780487805
Barrio Sur,0.5975609756097561
Barrio Tres Cerritos,0.4634146341463415
Barrio Zacagnini,0.012195121951219513
Beccar,0.0
Beccar Alto,0.6341463414634146
Beccar Libertador Rio,0.13414634146341464
Beccar Vias / Libertador,0.5365853658536586
Beccar-Vias/Rolon,0.5975609756097561
Belgrano,1.0
Bella Vista,0.7804878048780488
Bella Vista ,0.012195121951219513
Bermudas,0.07317073170731707
Billinghurst,0.8292682926829268
Boat Center,0.3170731707317073
Boca,0.9390243902439024
Boca Raton,0.7317073170731707
Boedo,0.9512195121951219
Bosque Alto,0.012195121951219513
Bouquet,0.32926829268292684
Brazo Oriental,0.12195121951219512
Brujas,0.024390243902439025
Buceo,0.7560975609756098
Buenos Aires Golf,0.15853658536585366
Caballito,1.0
Caisamar,0.5487804878048781
Camet,0.12195121951219512
Campo Chico,0.3902439024390244
Campo Grande,0.6463414634146342
Campos De Alvarez,0.7073170731707317
Campos De La Enriqueta,0.036585365853658534
Campos De Roca,0.5365853658536586
Campos De Roca II,0.14634146341463414
Campus Vista,0.036585365853658534
Candioti,0.012195121951219513
Candioti Norte,0.036585365853658534
Canning Chico,0.024390243902439025
Cantegril,0.3780487804878049
Capitan,0.024390243902439025
Carabassa,0.06097560975609756
Cardales Village,0.43902439024390244
Cardenal Del Monte,0.08536585365853659
