,log_precio_m2,log_precio_m2,log_precio_m2,log_precio_m2,precio_m2,precio_m2,precio_m2,precio_m2,superficie_ref,superficie_ref,superficie_ref,superficie_ref,CantidadDormitorios,CantidadDormitorios,CantidadDormitorios,CantidadDormitorios
,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std
month,,,,,,,,,,,,,,,,
2019-01,8994,7.058919718363196,7.464043276824885,1.6401908638096636,8994,1886.0396045587008,1744.1860465116279,1488.3786718564277,8994,879.9163342228152,83.0,4360.070883740043,188919,2.3761612119479776,2.0,1.1569761818457365
2019-02,6865,6.751435885440873,7.3645136814778525,1.810323578770622,6865,1856.6361090974976,1578.9473684210527,3707.63912421435,6865,20723.126587035684,126.0,829930.8941883844,135201,2.368747272579345,2.0,1.137470673025806
2019-03,8829,7.0142211121676095,7.4673710669175595,1.7212449443500133,8829,1820.5008684195504,1750.0,1175.457805847013,8829,259.3119164118247,75.06,942.8739398804383,163063,2.4102892746975098,2.0,1.1710264907868453
2019-04,10889,6.895921032459885,7.4673710669175595,2.3419741357512947,10889,1912.6011359030456,1750.0,2341.3883477948652,10889,6167.246723298741,90.0,75108.92905786185,161877,2.335841410453616,2.0,1.1422599747708386
2019-05,35141,7.762388632469525,8.158315823922305,1.3183712993720569,35141,4323.140880024063,3492.3,17093.791334313304,35141,403.63603710765204,48.0,5172.316811721926,234408,2.239014880038224,2.0,1.1211831610814313
2019-06,9607,7.130076343510174,7.50246238672883,1.5285582768258796,9607,2650.9925320514653,1812.5,11862.052770739598,9607,426.7114270844176,75.0,2902.8045737550315,164440,2.301836536122598,2.0,1.1302811201171141
2019-07,17752,7.27839105143076,7.57191492266883,1.3908784383245432,17752,2084.0769284418825,1942.857142857143,1930.5379949950416,17752,7779.2770707525915,95.0,383980.78560058924,191150,2.376306565524457,2.0,1.1320415377436936
2019-08,16638,7.143226437917642,7.430141725149204,1.3761596153450928,16638,1838.7743649452555,1686.046511627907,1174.8294649413538,16638,8279.922721480947,92.0,285009.9591793738,195191,2.345225958164055,2.0,1.117998357750281
2019-09,16093,7.009000113524849,7.391552230360208,1.8477300985964809,16093,1805.3267530554958,1622.2222222222222,1276.0274225830494,16093,1724.448065618592,90.0,23475.0023555763,189322,2.354628622135832,2.0,1.1056879199956424
2019-10,30612,7.134622520603281,7.4757393165880766,1.4530855872145259,30612,2032.14471468747,1764.7058823529412,5588.2508082532195,30612,1537.1454240167254,90.0,19476.747224267245,258539,2.316087708237442,2.0,1.1233723092163976
2019-11,23959,7.21636535227645,7.540277837725648,1.5270028575114472,23959,2093.3386496573453,1882.3529411764705,3020.192677131143,23959,8222.456842940022,81.0,181309.5534225478,234747,2.2890430974623746,2.0,1.1200769524007048
2019-12,21368,6.9742570914224675,7.464043276824885,1.8426192742902734,21368,2267.0908870854705,1744.1860465116279,6791.268396284321,21368,512765.80656308495,120.0,17622037.942167025,171712,2.3343680115542305,2.0,1.1351355994304435
2020-01,20830,7.136019083240568,7.473563037165481,1.7043524602740512,20830,2135.01430736995,1760.8695652173913,5492.5629578370545,20830,1258.0676135381661,80.0,16491.994505972954,206992,2.2947118729226252,2.0,1.1301793012452512
2020-02,26956,7.061856817184986,7.512609852396404,1.6849557391948413,26956,2502.404254816628,1830.9859154929577,12775.479284312352,26956,2214.6014876094378,87.0,25930.78914228725,191030,2.308223839187562,2.0,1.1289684348291786
2020-03,46036,7.22395917414413,7.549609165154532,1.4695700642287524,46036,2252.3139016348396,1900.0,6487.002291253341,46036,435.0380617342949,90.0,4748.91997681631,248198,2.277463960225304,2.0,1.1283897569616008
2020-04,41342,7.189552566831703,7.5840953412257015,1.5780302147410543,41342,2162.7398891754974,1966.6666666666667,3744.6181405738953,41342,2939.676038169416,84.0,99131.90010662083,169184,2.2997742103272176,2.0,1.1275901786737612
2020-05,94170,6.611191459865862,7.403102014932294,2.814025494112819,94170,2812.796979342969,1641.067216981132,17085.53874361397,94170,6889.238078793671,85.0,493808.3722757032,278773,2.2752382763036594,2.0,1.1185524226022987
2020-06,69781,6.8512607936717815,7.398712699531402,2.0552827663154356,69781,3192.101393596076,1633.879781420765,61391.080914626575,69781,1645.5128434674195,100.0,93335.03138053633,198254,2.3130781724454486,2.0,1.131412559136915
2020-07,148334,6.9511546181030806,7.359740402725194,1.6449124095109433,148334,2332.3712143029384,1571.4285714285713,47317.92832156728,148334,2455.703700365392,100.0,149221.85632723226,267305,2.2861487813546324,2.0,1.1450384542750156
2020-08,127970,7.067569715529274,7.446751779714824,1.7034680300256144,127970,2360.983716338571,1714.2857142857142,12895.789215883482,127970,20750.34636594514,90.0,2864831.7499035634,226819,2.280435060554892,2.0,1.1300315684123394
2020-09,182531,7.08334295689538,7.444059988049113,1.552020457946819,182531,2508.1469993870573,1709.6774193548388,23978.693492306647,182531,2649.6061346839715,90.0,131997.42564166387,275612,2.31117295328215,2.0,1.205598764593015
2020-10,268070,7.080533390610549,7.50246238672883,1.7019725049190615,268070,2468.4617094639366,1812.5,14787.739720104533,268070,38525.70854202261,84.0,2708316.2444499945,294916,2.269781903999783,2.0,1.1580145591693398
2020-11,391424,7.130752151728177,7.4524824544238095,1.430525307763273,391424,2311.3085676807527,1724.1379310344828,18287.101968305076,391424,79366.19388696145,100.0,11614851.074752308,316740,2.4799614826040286,2.0,1.2185052338846978
2020-12,268743,7.092408580397592,7.472648124018404,1.6194683642314787,268743,2409.0038245958144,1759.2592592592594,19393.89299282362,268743,52108.48350412848,90.0,16809684.493558053,216875,2.330568299711816,2.0,1.2213667200600449
2021-01,280106,7.038448728072025,7.445918098966247,1.6564379067085349,280106,2730.202453288956,1712.857142857143,29010.11673080568,280106,57681.93534429823,91.0,3976667.337578038,221459,2.2956303424110107,2.0,1.1523709110773706
2021-02,295749,6.986769117503953,7.414405531337647,1.6348131694125079,295749,2278.8933688798843,1659.7222222222222,25006.285166118778,295749,117227.00447761446,90.0,25328224.78705352,230773,2.287256308146967,2.0,1.147643525071034
2021-03,418041,7.00902123435236,7.393263094763838,1.5973411588756186,418041,2178.175551098213,1625.0,15816.162900098427,418041,64611.47756928149,89.0,19002874.607326843,322188,2.265878927830956,2.0,1.1286539028708864
2021-04,333607,7.003854586688614,7.401278224895777,1.5817216473034685,333607,2233.058363669336,1638.076923076923,19395.07652618122,333607,92412.40574136634,86.0,22619603.540835664,260252,2.2480403608809922,2.0,1.1152630835470236
2021-05,346993,6.895902454536555,7.357280376884332,1.8240243144719508,346993,2222.9004051867732,1567.5675675675675,19390.400268475518,346993,551063.5753142283,93.0,79130899.05126868,268686,2.289683868902734,2.0,1.125863617210954
2021-06,374391,7.045192101613587,7.418580902748128,1.5160501191100666,374391,2250.1564559243943,1666.6666666666667,15872.567357789341,374391,6847.374224380394,89.0,1552062.642419359,292070,2.2626493648782824,2.0,1.1384774272562672
2021-07,371440,6.9421646328487,7.354042381610556,1.5483365584362057,371440,2982.85311265258,1562.5,177335.68946498356,371440,10269.55266355266,94.0,1027010.541392114,285445,2.2831543729965493,2.0,1.1410444086910192
2021-08,387350,7.003271755873878,7.3645136814778525,1.4637290678363877,387350,2739.167000417175,1578.9473684210527,174228.1315765437,387350,31852.621809913515,90.0,16139105.480515879,304120,2.249444298303301,2.0,1.1049717362787985
2021-09,392837,6.967278022163659,7.348970079750704,1.4447810872512905,392837,2613.195478126525,1554.5945945945946,171115.51240162412,392837,27528.35497409867,90.0,4294801.373153031,294703,2.2391288856916964,2.0,1.1168901245529095
2021-10,375305,6.979299036129027,7.347706563161471,1.5097028753383435,375305,2660.0404967626305,1552.6315789473683,175411.30531699045,375305,21260.12376280625,87.0,4774596.804098137,296315,2.231129034979667,2.0,1.1227527789889067
2021-11,352808,6.9759683301069595,7.335199293809077,1.4900505684117191,352808,2829.8944537676434,1533.3333333333333,180845.5412087382,352808,27029.23673286887,89.0,6373946.647699167,280434,2.2682663300455723,2.0,1.1422723020696164
2021-12,327877,6.82283648530286,7.307355267637903,1.8060891463406694,327877,2681.483571709252,1491.2280701754387,109551.9682642438,327879,5626.983451822166,90.0,908579.7882298328,250229,2.247809006949634,2.0,1.1228021645442323
2022-01,308763,6.917544085885883,7.320600494387924,1.4885603146835875,308763,2697.216908448762,1511.111111111111,111493.44874847615,308775,22052.241072722856,90.0,6028060.212585191,234530,2.2415426597876604,2.0,1.1264319070180824
2022-02,296370,6.846905010297171,7.275480059107454,1.5509803941943463,296370,2301.619573955541,1444.4444444444443,110617.95818420396,296388,27683.310102433297,92.0,6449265.48696617,224688,2.257895392722353,2.0,1.1067417246655615
2022-03,329802,6.920700149227011,7.3096803829543315,1.4911657212300278,329802,2356.4886152539093,1494.699381906724,101533.0181147283,329932,6888.922423044749,91.0,1351469.2709286038,252038,2.266876423396472,2.0,1.1181259716962964
2022-04,333147,6.956168686404307,7.313220387090301,1.44010505404238,333147,2763.659830862412,1500.0,104701.86649079954,333169,18166.501930761868,93.0,2840179.288256584,261111,2.2812443749976064,2.0,1.116318284583489
2022-05,366983,6.887252125562998,7.2833674239406205,1.51415207041206,366983,2158.005743650824,1455.8823529411766,76525.40738260548,367003,45517.02276877846,95.0,6036551.4972571125,288866,2.2671203949235976,2.0,1.1407399558090814
2022-06,294701,6.9372471268129345,7.313220387090301,1.4401439122357882,294701,2165.2074755273106,1500.0,80429.69555892752,294729,92460.5512850449,90.0,31333346.259774864,229131,2.266790613229986,2.0,1.1203202998966997
2022-07,549148,6.667603222175027,7.1308988302963465,1.750766164119132,549148,2395.084570222955,1250.0,60103.86327476351,549211,15015.44262436477,108.0,2333333.3997634524,402858,2.283385212655576,2.0,1.111315830701254
2022-08,411113,6.858744262013185,7.260576653604879,1.5051051695447233,411113,2162.6631144861394,1423.076923076923,67092.3812858742,411125,6749.258638783825,97.0,586540.2923630032,311390,2.274324801695623,2.0,1.1154435154587947
2022-09,377618,6.789234595815593,7.236259345954173,1.6248202348213834,377618,2035.0742188266695,1388.888888888889,68885.39555657287,377636,17830.425998527684,95.0,3986329.775685214,283904,2.2356993913435526,2.0,1.104826705243048
2022-10,296689,6.793095766587222,7.226209010100671,1.5851360935164127,296689,2224.083774441236,1375.0,79928.74607059816,296706,38118.61903345399,100.0,8056247.218709038,224819,2.2992095863783755,2.0,1.1256748884177252
