Barrio,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
Abasto,,,,,8.247524862551035,,,7.616902800888523,8.198734460285204,7.753515860050454,7.758088043064495,7.587657232792062,7.22835416644706,7.498623610421665,7.621521746744818,7.367287608360577,7.406746445101125,7.585634987411294,7.489676824431858,7.52294091807237,7.31937635082508,7.49170316757709,7.391181928560013,7.4524824544238095,7.510751362547785,7.376469417398001,7.411660459903554,7.431003422746685,7.346010209913293,7.3731185286713705,7.391181928560013,7.3988758316687955,7.313220387090301,7.346010209913293,7.313220387090301,7.330749189374596,7.411936360029459,7.345779868425588,7.333599549426953,7.3031700512368,7.320942433184212,7.308619745936124,7.261516192387447,7.351686667918098,7.300027254244769,7.314145884611245,7.303167131166175,7.285517784540966,7.322699131044845,7.34592165444272,7.28686554720443,7.313220387090301,7.320287554313394,7.235115180695168,7.295327934248713,7.408530566894626,7.305785408602784,7.24868186595273,7.253116463020596,7.313220387090301,7.258134689998267,7.28686554720443,7.357023009748694,7.380186514760816,7.418580902748128,7.388727939598446,7.470224135899966,7.4011891600362585,7.382213258577253,7.447236158508503,7.476925279722371,7.417961421569176,7.5263560667936815,7.5319095880551306,7.5319095880551306,7.484228183983983,7.543744045702134,7.516372848906002,7.55211229537265,7.5319095880551306,7.588926268495366,7.5267944873883605
Abril Club De Campo,,,,7.7214894225312,,,7.8632667240095735,,,5.9518390575881135,5.859075359062237,,7.555782024261613,,7.448433865897809,,5.509038397863689,7.52294091807237,6.0048875674401225,6.056119016996336,7.093844844219486,7.389058463481806,7.6348040112177635,,7.5267944873883605,,7.448433865897809,7.611622625161017,7.505592279737757,,7.633186244650078,7.636669683400713,7.803843303538772,7.585154102573943,7.671283256303882,,7.661527081358517,7.701862416973373,7.4757393165880766,,5.807240040167941,7.536345572594302,7.661527081358517,7.585634987411294,7.881804845008484,7.840034224970236,7.5267944873883605,7.849030812920855,,,,,,6.9809660987217015,7.645519525030889,,7.671881605532089,7.74180791261932,7.630755422691763,7.74993803870257,7.824046010856292,7.6823954937932655,7.76019453886976,7.7123420212762905,7.841284225621278,7.781845656365916,7.858586336108468,7.567218933065932,7.75120326471869,7.814996175336375,7.669895331029034,7.7123420212762905,7.830497713274246,7.794354004666134,7.729735331385051,7.710372017362474,7.788954691045022,7.72396255229931,7.786305682873445,7.726065602496088,7.726065602496088,7.817125568011718
Acassuso Vias  /  Santa Fe,,,,,8.072507370154792,,,7.886893914515956,,,7.549609165154532,,8.050573660154742,8.006367567650246,8.39357923544906,,8.01820202529725,,,7.846645842773533,7.870566026491185,7.919356190660617,7.824046010856292,8.262300941787448,7.957577403480815,7.730801756092914,7.985697888643463,7.9226685487736,7.919356190660617,7.9226685487736,7.753665214094493,7.849525096157277,7.8907373853549645,7.870566026491185,7.833898307299304,7.870566026491185,7.967146854496965,7.757597674123076,7.898153983010014,7.894309930522591,7.913277144584235,7.860859983979008,7.839794367824432,7.898153983010014,7.753665214094493,7.735034452839422,7.882864436922585,7.752587046874147,,,,7.803843303538772,7.718685495198466,7.623375315394141,7.754956050943055,7.7806955699826785,7.737034633866663,7.727706995497234,7.801573155004234,8.024353003823071,7.811414263950391,7.899395448098079,7.725133139191332,7.77080149633748,7.6587220304309085,7.707512194600341,7.696212639346407,7.761822001840255,7.772752716468742,7.8756381289739075,7.629889996415335,7.829075359261294,7.665018594189741,7.888584531993863,7.826709128275776,7.7384322581333,7.772050715737912,7.891487291651825,7.786305682873445,7.866176182665162,7.833834017222455,7.798028269138235
Agronomia,8.218211563710524,,,,,,,,,8.022367908996689,,7.622881366260858,7.983894711798188,,,7.533025037138996,7.836255274530365,8.118845551076937,7.734433852166605,7.66633001815395,7.726065602496088,7.8399193600125825,7.673223121121708,7.705637779805991,7.82289987892567,7.693398352216999,7.606981505618465,7.5792409627609025,7.79890502189819,7.540574470940855,7.60479352976311,7.541264193222351,7.591852624022165,7.588479939543525,7.610233786970967,7.664852270493718,7.562487391918525,7.600902459542082,7.474995432755913,7.522312184948861,7.45260182229918,7.600902459542082,7.471690728062076,7.5199701286288345,7.443197077031892,7.411281600266516,7.375902183357526,7.3685704821734666,,,7.584373157590872,7.445510314626759,7.540610229285963,7.3801087395500895,7.460202577438947,7.410101548790253,7.423568444259167,7.495541943884256,7.473389139243123,7.429052202615423,7.557417347602343,7.498623610421665,7.4689558542981995,7.426549072397305,7.614029618629737,7.572939353197367,7.495541943884256,7.6046199487858415,7.70827606093259,7.536363938404511,7.7148467188913,7.545842682359055,7.637716432664798,7.696212639346407,7.748397205433866,7.571049496392401,7.684429501873666,7.642575155942651,7.654969680812358,7.6164066460780475,7.6597429595650155,7.571049496392401
Aidy Grill,,,,,,,,,,,7.680945167215619,7.919356190660617,,7.8122115532092895,7.680945167215619,7.658060873382031,7.1753079801387525,7.929406526514119,7.870566026491185,7.63864278752493,7.513891082552453,8.006367567650246,8.144517906131064,8.054819951036194,7.9568525031228665,8.064811163520321,8.020494946909457,7.888584531993863,7.788954691045022,8.039157390473237,,7.959886876408962,7.936523994282982,7.9958962677829515,8.044107895633093,8.006367567650246,7.989125761215741,7.968627239667399,8.006367567650246,8.055760322979824,7.982270016071186,7.937374696163295,8.130420216320225,8.060434788920523,8.031685375634536,8.244400036210365,8.064636475774222,8.139921705010604,,,,,,,8.006367567650246,,8.037620111154352,8.0559928049371,8.35745169840258,7.927230247091523,8.120311826999465,8.006367567650246,8.122952003260268,8.113853482620387,8.25723566697931,8.113726085970747,8.048881149819131,8.147446165910152,8.086410275323782,8.130420216320225,8.192953523230658,8.314668927304764,8.147446165910152,8.194419799153186,8.152971041842122,8.111728083308073,8.143767511650335,8.07580917149848,8.137703569711334,8.130420216320225,8.180720954795024,8.113726085970747
Albanueva,,,,,7.615940336906623,,,,,,5.799092654460526,5.652335263074884,,,,7.170119543449628,8.131530710604252,6.166584903483761,7.865288969390341,7.387328359244023,7.700722794824293,7.592805249309463,6.281460405410032,7.4473758046960725,7.615940336906623,7.042001212544529,7.329675507816746,6.498282149476434,7.549609165154532,6.44272431040578,,6.5061069694006735,7.924129469413274,7.931756703859072,,8.003247440314004,6.461468176353717,6.253770842241234,6.433297299387021,6.3436851406973345,7.752918666840708,8.003247440314004,7.992182932658291,6.21551430600573,7.851104952598229,6.530461047840669,7.349306776864722,6.304759195416489,,,,,6.3016194754118215,,6.488867150541832,,6.528607479191346,6.620073206530356,6.789972243325754,6.5947362970225,6.924138758232661,7.900418989640866,8.101821861238196,6.591521304601915,6.66654220435999,8.05288758328514,6.725433722188183,7.824046010856292,8.101821861238196,7.253706259557894,,8.162882293949854,8.006367567650246,8.143649810871036,8.081326256009419,7.315052810535269,7.924129469413274,8.28162712010347,6.938355088918165,8.055151404202102,8.28602349607746,8.102759413325312
Alberdi,7.446751779714824,7.1441440570463675,,6.609023370343771,7.4673710669175595,6.8447804798207486,7.313220387090301,7.6758037677152,7.2028399609704366,6.980075940561763,7.421561530886265,7.105581022312057,7.708533123734448,8.147738520831107,7.159069707263043,6.60514755631368,7.1308988302963465,7.641724454062338,7.017756174196466,7.07138470276394,7.070274208479912,7.081602208785119,6.997489522887911,6.790947853391384,6.953702578198734,6.907755278982137,7.013115794639964,6.890948160665756,6.907755278982137,6.9532176530588945,6.907731469174876,6.945780622184136,6.953702578198734,6.805934590029435,6.980075940561763,6.8153819588511215,6.878767742108884,6.793250943598833,6.8626348437016675,6.843216757844566,6.878196476740593,6.759129517248171,6.74869058435245,6.81525938630722,6.774725013905059,6.727125771180303,6.671366500917907,6.725433722188183,6.949110464664051,6.8517274475124745,7.097624041411475,7.025538314638521,6.671366500917907,6.9385269376488905,6.66281029898671,6.770554157468652,6.707084583519986,6.928166276242265,7.06083126767963,6.843216757844566,6.816585891843844,6.85269550179911,6.927957986299656,6.755874747689418,6.816585891843844,6.9215486011144725,6.833858032780096,6.863952656323744,6.765439056801882,6.96659577900507,6.812445099177812,6.898542800060067,6.905578999559541,6.996308676323582,6.878767742108884,6.843216757844566,6.9219513397588806,6.87001495099929,6.839547028955604,6.940545101805128,6.873258843238661,6.825517180745165
Almagro,,7.914700379124423,7.015385943174502,7.813995675002791,8.132775242486375,8.011405361680204,7.994843081798293,7.755053139369341,8.000152974306523,7.765777102732316,7.685060767549306,7.954723334497908,7.9724660159745655,7.8632667240095735,8.123333808915545,7.852111042450375,7.9616316738088555,7.863259031672295,7.83363023809805,7.824046010856292,7.777639638042136,7.818474965806836,7.758840600731017,7.755053139369341,7.77698741394291,7.739230024430098,7.741354295011178,7.7222704593524725,7.698882867902286,7.733697694172013,7.680945167215619,7.695154997788272,7.712820375746068,7.664981316226605,7.661527081358517,7.656583064933695,7.665440980679653,7.629073336508779,7.614695781674418,7.613023820074427,7.598399329323964,7.600902459542082,7.587657232792062,7.617153829301589,7.556051893376731,7.5898526233554975,7.543274680754498,7.52356744681036,7.70144368876396,7.7482593314498125,7.520050362912987,7.479595008503274,7.564095448031863,7.610471910558233,7.646567444670781,7.549609165154532,7.5792409627609025,7.574926973138822,7.549609165154532,7.625410263407378,7.57170174850231,7.572731582575386,7.600902459542082,7.676410012050227,7.632651157856663,7.646082590229806,7.669895331029034,7.665440980679653,7.642451462454955,7.658616120524044,7.654901852012145,7.648155344392628,7.725200176219659,7.71784972415107,7.753117612139551,7.72396255229931,7.6597429595650155,7.699522458586066,7.721855069959745,7.683140557779055,7.696212639346407,7.653546193027505
Alta Cordoba,7.423568444259167,,,,,,6.671366500917907,7.090722413657902,,7.3495880312611765,6.907755278982137,,6.994766655971767,6.7178865165528,6.3771270279199666,7.069023426578259,6.192135242570133,,6.994766655971767,6.834995924699709,7.048631427600699,6.725433722188183,7.0412866716066596,6.722832940488125,7.144755864957773,6.838762407495186,7.013115794639964,6.76549020638886,6.637464949242225,6.970275635963471,6.9062156327965445,6.783809163052659,6.914039066002424,6.767993336606978,6.763174050171029,6.852185427827326,6.843372086636344,6.741628408108163,6.690947546117013,6.778609809442209,6.624629023066217,6.587812344312135,6.593506179145634,6.750822956193002,6.656960196337417,6.856461984594587,6.597577623147302,6.660895201050611,,,,,7.003899139535039,6.4630694577206915,6.597183249525222,,6.634433372145713,6.726887210816166,6.666290145939259,6.645391014514646,6.857744858407476,6.471013817562608,6.597600350678298,6.577399326578741,6.80711175320245,6.465636853225937,6.507431570374392,6.684611727667927,6.652735451662486,6.734912466142727,6.9123636065345995,6.635821563498495,6.771953737823075,6.838762407495186,6.666593222165249,6.771108611482296,6.774223886357614,6.838762407495186,6.634461943982456,6.715383386334681,6.694496020329138,6.631618524316089
Alto Alberdi,7.101911293423094,,7.331569525758498,,6.574057936753372,7.025538314638521,,6.907755278982137,,6.342441469932076,7.27931883541462,6.005257869240317,5.0319610808110085,7.030815371739364,7.195437351433918,7.505592279737757,7.013115794639964,6.907755278982137,6.332391134078575,7.090076835776092,6.771623104657557,6.883007109292943,6.766676680722232,6.5350799936969635,6.844429174312597,6.631620977830783,6.835434617402511,6.835434617402511,6.7871272911935225,6.684611727667927,6.696059113508278,6.540823834876216,6.800124614789771,6.707734145088781,6.778408011192873,6.580542367773721,6.43552695471429,6.755268494201216,6.620073206530356,6.626342819543951,6.753604599154879,6.66706792787788,6.606650186198215,6.557230216863533,6.725433722188183,6.682526221176906,6.503553279967415,6.468388619198292,,,,,6.907755278982137,6.720243237678673,6.684611727667927,6.730074101744685,6.657556299785097,6.586171654854675,6.537805803834709,6.648938046134477,6.789972243325754,6.66969844381721,6.657556299785097,6.858965114812705,6.915418151727706,6.789972243325754,6.72054373689399,6.851131338736641,6.83078155475832,6.885282423130079,6.789972243325754,6.832853970809019,6.946598775972676,6.968379900798572,6.907755278982137,7.05565587742728,6.885259695599083,6.946221559809933,7.013115794639964,6.8514023424310055,6.820886372430856,6.807669743896778
