Barrio,month,n_listings,precio_m2_med,superficie_med,log_precio_m2_med
Abasto,2019-01,324,,,
Abasto,2019-02,257,,,
Abasto,2019-03,329,,,
Abasto,2019-04,366,,,
Abasto,2019-05,414,3818.163636363636,55.0,8.247524862551035
Abasto,2019-06,414,,,
Abasto,2019-07,418,,,
Abasto,2019-08,499,2032.258064516129,31.0,7.616902800888523
Abasto,2019-09,525,3636.3454545454547,55.0,8.198734460285204
Abasto,2019-10,652,2329.7491039426523,55.0,7.753515860050454
Abasto,2019-11,547,2340.425531914894,55.0,7.758088043064495
Abasto,2019-12,551,1973.6842105263158,76.0,7.587657232792062
Abasto,2020-01,766,1377.9527559055118,508.0,7.22835416644706
Abasto,2020-02,698,1805.5555555555557,34.0,7.498623610421665
Abasto,2020-03,724,2041.6666666666667,47.0,7.621521746744818
Abasto,2020-04,762,1583.3333333333333,86.0,7.367287608360577
Abasto,2020-05,694,1647.0588235294117,59.0,7.406746445101125
Abasto,2020-06,477,1969.6969696969697,63.0,7.585634987411294
Abasto,2020-07,491,1789.4736842105262,56.0,7.489676824431858
Abasto,2020-08,506,1850.0,46.0,7.52294091807237
Abasto,2020-09,692,1509.26243567753,52.0,7.31937635082508
Abasto,2020-10,594,1793.103448275862,46.0,7.49170316757709
Abasto,2020-11,666,1621.6216216216217,60.0,7.391181928560013
Abasto,2020-12,405,1724.1379310344828,53.0,7.4524824544238095
Abasto,2021-01,630,1827.5862068965516,51.0,7.510751362547785
Abasto,2021-02,570,1597.9381443298969,54.0,7.376469417398001
Abasto,2021-03,660,1655.1724137931035,52.0,7.411660459903554
Abasto,2021-04,776,1687.5,47.0,7.431003422746685
Abasto,2021-05,728,1550.0,58.0,7.346010209913293
Abasto,2021-06,676,1592.5925925925926,65.0,7.3731185286713705
Abasto,2021-07,750,1621.6216216216217,57.0,7.391181928560013
Abasto,2021-08,736,1634.1463414634147,60.0,7.3988758316687955
Abasto,2021-09,766,1500.0,51.0,7.313220387090301
Abasto,2021-10,776,1550.0,60.0,7.346010209913293
Abasto,2021-11,738,1500.0,53.0,7.313220387090301
Abasto,2021-12,653,1526.525,52.0,7.330749189374596
Abasto,2022-01,590,1655.6291390728477,65.0,7.411936360029459
Abasto,2022-02,626,1549.6431372549018,51.0,7.345779868425588
Abasto,2022-03,820,1530.8823529411766,56.0,7.333599549426953
Abasto,2022-04,1126,1485.0,52.0,7.3031700512368
Abasto,2022-05,963,1511.6279069767443,60.0,7.320942433184212
