Barrio,med_precio_m2,n
Puerto Madero,6017.36188271605,2230
Gonzalez Catan Centro,5161.290322580645,264
Nordelta Islas Del Canal,4949.27536231884,544
Horizons,4945.054945054945,285
Nordelta Remeros Beach,3969.6938775510203,1539
Tres Cerros,3867.6470588235293,1825
Nordelta Condominios De La Bahia,3857.1428571428573,353
Nordelta Yoo Nordelta,3851.8518518518517,2562
Olivos Vias/Rio,3800.0,17236
Arboris,3793.814432989691,230
Playa Brava,3770.4918032786886,52568
Nordelta Aqua Golf 1,3764.705882352941,216
Arboris Las Lomas,3736.842105263158,738
La Lucila Libertador / Rio,3725.0,5398
Puerto Buceo ,3647.7272727272725,1467
Playa Mansa,3584.9056603773583,59619
Nordelta Miradores de la Bahía,3571.4285714285716,1252
Vicente Lopez Vias / Rio,3555.8667911609086,12186
La Pastora,3538.4615384615386,1223
Nordelta Wyndham Condominios,3500.0,644
