cluster_lvl1,year,med_precio_m2,med_log_precio_m2,n_obs,base_precio_m2,indice_base_100
0,2019,892.8571428571429,6.784274222211116,361,892.8571428571429,100.0
0,2020,1000.0,6.907755278982137,420,892.8571428571429,112.0
0,2021,851.063829787234,6.746487131386015,447,892.8571428571429,95.31914893617021
0,2022,770.5468402314198,6.641984549347963,456,892.8571428571429,86.301246105919
0,2023,640.9231870229007,6.459678226707153,316,892.8571428571429,71.78339694656488
0,2024,700.4672897196263,6.551747446549973,466,892.8571428571429,78.45233644859815
0,2025,760.8695652173913,6.634461943982456,385,892.8571428571429,85.21739130434781
1,2019,2084.507042253521,7.642287675704937,1751,2084.507042253521,100.0
1,2020,1989.8979591836735,7.59527365644246,1813,2084.507042253521,95.46132101489245
1,2021,1862.2891156462586,7.5295603635242845,1872,2084.507042253521,89.3395454127597
1,2022,1730.3846153846152,7.456098959111399,1884,2084.507042253521,83.01169438669439
1,2023,1654.2857142857142,7.411124602071673,1523,2084.507042253521,79.36100386100387
1,2024,1726.7316017316016,7.453985603954802,1884,2084.507042253521,82.83644846144847
1,2025,1850.131977710431,7.52294091807237,1569,2084.507042253521,88.75633136313556
