CODUSU,nro_hogar,ch03,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,cat_ocup,pp03c,pp03i,pp10a,p21,tot_p12,t_vi,itf,ch12,ch13,ch14,pp3e_tot,pp3f_tot,df,rango_edad,adulto_esquiv,ID_hogar,ad_equiv_hogar,ingreso_necesario,pobre
125666  ,1.0,1.0,1.0,36.0,1.0,4.0,3.0,1.0,,140.0,3.0,1.0,1.0,,300.0,,,700.0,4.0,2.0,02,46.0,0.0,T105,30 a 45 años,1.0,125666  -1.0,4.18,857.1925999999999,1
125666  ,1.0,2.0,2.0,35.0,1.0,4.0,2.0,3.0,4.0,140.0,,,,,,,,700.0,2.0,1.0,  ,0.0,0.0,T105,30 a 45 años,0.77,125666  -1.0,4.18,857.1925999999999,1
125666  ,1.0,3.0,2.0,15.0,5.0,4.0,3.0,3.0,3.0,140.0,,,,,,,300.0,700.0,5.0,2.0,01,0.0,0.0,T105,15 años,0.77,125666  -1.0,4.18,857.1925999999999,1
125666  ,1.0,3.0,1.0,12.0,5.0,4.0,3.0,3.0,3.0,140.0,,,,,,,,700.0,3.0,2.0,08,0.0,0.0,T105,12 años,0.85,125666  -1.0,4.18,857.1925999999999,1
125666  ,1.0,3.0,1.0,10.0,5.0,4.0,1.0,3.0,3.0,140.0,,,,,,,,700.0,3.0,2.0,05,0.0,0.0,T105,10 años,0.79,125666  -1.0,4.18,857.1925999999999,1
126344  ,1.0,1.0,1.0,53.0,2.0,1.0,6.0,1.0,,1266.6666666666667,3.0,2.0,2.0,,1500.0,800.0,,3800.0,7.0,1.0,  ,30.0,30.0,T105,46 a 60 años,1.0,126344  -1.0,2.79,572.1453,0
126344  ,1.0,2.0,2.0,52.0,2.0,1.0,6.0,1.0,,1266.6666666666667,3.0,1.0,2.0,,1500.0,,,3800.0,7.0,1.0,  ,30.0,0.0,T105,46 a 60 años,0.76,126344  -1.0,2.79,572.1453,0
126344  ,1.0,3.0,1.0,16.0,5.0,1.0,3.0,3.0,3.0,1266.6666666666667,,,,,,,,3800.0,5.0,2.0,02,0.0,0.0,T105,16 años,1.03,126344  -1.0,2.79,572.1453,0
127081  ,1.0,1.0,2.0,84.0,4.0,1.0,2.0,3.0,1.0,139.5,,,,,,,279.0,279.0,2.0,1.0,  ,0.0,0.0,T105,más de 75 años,0.63,127081  -1.0,1.3900000000000001,285.0473,1
127081  ,1.0,5.0,2.0,19.0,5.0,1.0,5.0,3.0,3.0,139.5,,,,,,,,279.0,7.0,2.0,00,0.0,0.0,T105,18 a 29 años,0.76,127081  -1.0,1.3900000000000001,285.0473,1
127095  ,1.0,1.0,1.0,41.0,2.0,12.0,5.0,1.0,,248.0,3.0,1.0,2.0,,650.0,,,1240.0,7.0,2.0,01,25.0,0.0,T105,30 a 45 años,1.0,127095  -1.0,4.04,828.4828,0
127095  ,1.0,2.0,2.0,36.0,2.0,12.0,6.0,1.0,,248.0,3.0,1.0,2.0,,590.0,,,1240.0,6.0,1.0,  ,25.0,0.0,T105,30 a 45 años,0.77,127095  -1.0,4.04,828.4828,0
127095  ,1.0,3.0,2.0,14.0,5.0,12.0,3.0,3.0,3.0,248.0,,,,,,,,1240.0,3.0,2.0,08,0.0,0.0,T105,14 años,0.76,127095  -1.0,4.04,828.4828,0
127095  ,1.0,3.0,1.0,12.0,5.0,12.0,1.0,3.0,3.0,248.0,,,,,,,,1240.0,3.0,2.0,06,0.0,0.0,T105,12 años,0.85,127095  -1.0,4.04,828.4828,0
127095  ,1.0,3.0,1.0,7.0,5.0,12.0,1.0,4.0,3.0,248.0,,,,,,,,1240.0,3.0,2.0,01,0.0,0.0,T105,7 años,0.66,127095  -1.0,4.04,828.4828,0
127117  ,1.0,1.0,2.0,30.0,5.0,1.0,6.0,1.0,,153.33333333333334,3.0,1.0,2.0,,400.0,,,920.0,7.0,1.0,  ,36.0,0.0,T105,30 a 45 años,0.77,127117  -1.0,3.8600000000000003,791.5702,0
127117  ,1.0,6.0,2.0,55.0,3.0,2.0,2.0,3.0,4.0,153.33333333333334,,,,,,,,920.0,2.0,1.0,  ,0.0,0.0,T105,46 a 60 años,0.76,127117  -1.0,3.8600000000000003,791.5702,0
127117  ,1.0,8.0,1.0,28.0,1.0,1.0,4.0,1.0,,153.33333333333334,3.0,1.0,2.0,,520.0,,,920.0,4.0,1.0,  ,45.0,0.0,T105,18 a 29 años,1.02,127117  -1.0,3.8600000000000003,791.5702,0
127117  ,1.0,9.0,2.0,18.0,5.0,1.0,3.0,3.0,3.0,153.33333333333334,,,,,,,,920.0,5.0,2.0,02,0.0,0.0,T105,18 a 29 años,0.76,127117  -1.0,3.8600000000000003,791.5702,0
127117  ,1.0,3.0,1.0,4.0,5.0,1.0,7.0,4.0,5.0,153.33333333333334,,,,,,,,920.0,0.0,0.0,  ,0.0,0.0,T105,4 años,0.55,127117  -1.0,3.8600000000000003,791.5702,0
127117  ,1.0,9.0,2.0,1.0,5.0,1.0,7.0,4.0,5.0,153.33333333333334,,,,,,,,920.0,0.0,0.0,  ,0.0,0.0,T105,1 año,,127117  -1.0,3.8600000000000003,791.5702,0
127188  ,1.0,1.0,1.0,68.0,2.0,1.0,2.0,3.0,1.0,387.5,,,,,,,1550.0,1550.0,2.0,1.0,  ,0.0,0.0,T105,61 a 75 años,0.83,127188  -1.0,3.54,725.9478,0
127188  ,1.0,2.0,2.0,70.0,2.0,1.0,2.0,3.0,4.0,387.5,,,,,,,,1550.0,2.0,1.0,  ,0.0,0.0,T105,61 a 75 años,0.67,127188  -1.0,3.54,725.9478,0
127188  ,1.0,9.0,1.0,21.0,5.0,2.0,3.0,3.0,7.0,387.5,,,,,,,,1550.0,4.0,2.0,04,0.0,0.0,T105,18 a 29 años,1.02,127188  -1.0,3.54,725.9478,0
127188  ,1.0,9.0,1.0,18.0,5.0,2.0,3.0,3.0,3.0,387.5,,,,,,,,1550.0,5.0,2.0,01,0.0,0.0,T105,18 a 29 años,1.02,127188  -1.0,3.54,725.9478,0
127930  ,1.0,1.0,1.0,36.0,2.0,1.0,5.0,1.0,,390.0,3.0,1.0,2.0,,600.0,,,1170.0,7.0,2.0,01,48.0,0.0,T105,30 a 45 años,1.0,127930  -1.0,2.22,455.2554,0
127930  ,1.0,2.0,2.0,26.0,2.0,1.0,4.0,1.0,,390.0,3.0,1.0,2.0,,570.0,,,1170.0,4.0,1.0,  ,48.0,0.0,T105,18 a 29 años,0.76,127930  -1.0,2.22,455.2554,0
127930  ,1.0,3.0,2.0,2.0,5.0,1.0,7.0,4.0,5.0,390.0,,,,,,,,1170.0,0.0,0.0,  ,0.0,0.0,T105,2 años,0.46,127930  -1.0,2.22,455.2554,0
127930  ,3.0,1.0,2.0,14.0,5.0,4.0,2.0,1.0,,100.0,3.0,1.0,2.0,,100.0,,,100.0,2.0,1.0,  ,84.0,0.0,T105,14 años,0.76,127930  -3.0,0.76,155.8532,1
128490  ,1.0,1.0,2.0,67.0,3.0,1.0,2.0,3.0,4.0,375.0,,,,,,,,750.0,2.0,1.0,  ,0.0,0.0,T105,61 a 75 años,0.67,128490  -1.0,1.4300000000000002,293.25010000000003,0
128490  ,1.0,5.0,2.0,26.0,5.0,1.0,5.0,1.0,,375.0,3.0,1.0,2.0,,500.0,,,750.0,6.0,2.0,02,48.0,0.0,T105,18 a 29 años,0.76,128490  -1.0,1.4300000000000002,293.25010000000003,0
